"name"	"ID"	"Ac_vs_LB_p.val"	"Glc_vs_Ac_p.val"	"Glc_vs_LB_p.val"	"Ac_vs_LB_p.adj"	"Glc_vs_Ac_p.adj"	"Glc_vs_LB_p.adj"	"imputed"	"Ac_vs_LB_significant"	"Glc_vs_Ac_significant"	"Glc_vs_LB_significant"	"significant"	"Ac_vs_LB_log2fc"	"Glc_vs_Ac_log2fc"	"Glc_vs_LB_log2fc"	"Ac_centered"	"Glc_centered"	"LB_centered"
"PP_5175"	"PP_5175"	0.143265429927806	0.448615311785214	0.042520270309209	0.885	0.921	0.727	FALSE	FALSE	FALSE	FALSE	FALSE	-0.585	-0.287	-0.872	-0.0995	-0.386	0.486
"PP_5182"	"PP_5182"	0.00482760130257653	0.0806217619293355	0.095014926369171	0.713	0.862	0.794	FALSE	FALSE	FALSE	FALSE	FALSE	-1.12	0.573	-0.542	-0.563	0.0102	0.552
"PP_5183"	"PP_5183"	0.00248019543907563	0.001112241537052	0.539312274039429	0.645	0.339	0.886	FALSE	FALSE	FALSE	FALSE	FALSE	-1.01	1.16	0.147	-0.722	0.435	0.288
"PP_5184"	"PP_5184"	0.00432358285348805	0.225776114242413	0.0290442969156341	0.703	0.901	0.687	FALSE	FALSE	FALSE	FALSE	FALSE	-1.25	0.411	-0.837	-0.553	-0.142	0.695
"PP_5187"	"PP_5187"	0.0859862011956481	0.0934796121378531	0.957630495344783	0.87	0.868	0.909	FALSE	FALSE	FALSE	FALSE	FALSE	-0.283	0.275	-0.00789	-0.186	0.0891	0.097
"PP_5198"	"PP_5198"	0.845644479154585	0.909246003016373	0.758107608331222	0.925	0.938	0.9	TRUE	FALSE	FALSE	FALSE	FALSE	0.214	0.125	0.339	0.0296	0.155	-0.184
"PP_5201"	"PP_5201"	0.978890776572264	0.545983683564145	0.563086167250064	0.929	0.926	0.888	FALSE	FALSE	FALSE	FALSE	FALSE	-0.00412	0.0953	0.0911	-0.0331	0.0621	-0.029
"PP_5202"	"PP_5202"	0.00741971953316459	0.00829398128778332	0.93945313494259	0.748	0.682	0.908	FALSE	FALSE	FALSE	FALSE	FALSE	1.05	-1.02	0.0228	0.691	-0.334	-0.357
"PP_5203"	"PP_5203"	0.333835818117446	0.350305653744761	0.971627710587484	0.905	0.914	0.909	FALSE	FALSE	FALSE	FALSE	FALSE	-0.138	0.133	-0.00491	-0.0903	0.0427	0.0476
"PP_5205"	"PP_5205"	0.0168955189665204	0.0411783301752382	0.57263044752097	0.802	0.826	0.889	FALSE	FALSE	FALSE	FALSE	FALSE	0.497	-0.401	0.0964	0.299	-0.101	-0.198
"PP_5206"	"PP_5206"	0.00267610537900578	0.000969941102654286	0.439323385137132	0.654	0.312	0.878	FALSE	FALSE	FALSE	FALSE	FALSE	0.631	-0.749	-0.118	0.46	-0.289	-0.171
"PP_5209"	"PP_5209"	0.0896917215806361	0.744813233875835	0.148988284582343	0.871	0.933	0.823	FALSE	FALSE	FALSE	FALSE	FALSE	0.64	-0.111	0.529	0.25	0.139	-0.39
"PP_5210"	"PP_5210"	0.057249859714566	0.0303546888246802	0.689686106499307	0.856	0.806	0.896	FALSE	FALSE	FALSE	FALSE	FALSE	0.764	-0.906	-0.142	0.556	-0.349	-0.207
"PP_5211"	"PP_5211"	0.919211506653348	0.731975194161771	0.808831254124944	0.927	0.933	0.902	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0912	0.309	0.218	-0.133	0.176	-0.0422
"PP_5212"	"PP_5212"	0.0997965521543586	0.662085684463568	0.0498096038685253	0.874	0.93	0.742	FALSE	FALSE	FALSE	FALSE	FALSE	0.698	0.17	0.868	0.176	0.346	-0.522
"PP_5213"	"PP_5213"	0.021593349537262	0.00362296877558216	0.247365470288127	0.815	0.561	0.851	FALSE	FALSE	FALSE	FALSE	FALSE	-0.728	1.04	0.317	-0.591	0.454	0.137
"PP_5221"	NA	0.664389025521437	0.343300078528461	0.183699473403173	0.92	0.914	0.835	FALSE	FALSE	FALSE	FALSE	FALSE	-0.126	-0.283	-0.409	0.0522	-0.231	0.179
"PP_5226"	"PP_5226"	0.00399105508498079	0.00807562251118422	0.625366742127726	0.695	0.679	0.892	TRUE	FALSE	FALSE	FALSE	FALSE	-4.45	3.89	-0.559	-2.78	1.11	1.67
"PP_5229"	"PP_5229"	0.00852380442563581	0.0206542416010731	0.563306560349434	0.758	0.776	0.888	FALSE	FALSE	FALSE	FALSE	FALSE	0.472	-0.391	0.0812	0.287	-0.103	-0.184
"PP_5231"	"PP_5231"	0.180131381919062	0.326249927939388	0.681849157903653	0.891	0.912	0.896	FALSE	FALSE	FALSE	FALSE	FALSE	-0.294	0.209	-0.0849	-0.168	0.0414	0.126
"PP_5232"	"PP_5232"	0.000439848055295901	0.000659357721651821	0.726807381146471	0.392	0.24	0.898	FALSE	FALSE	FALSE	FALSE	FALSE	0.868	-0.815	0.0537	0.561	-0.254	-0.307
"PP_5234"	"PP_5234"	0.224069292023197	0.132978388845972	0.729983442054961	0.896	0.883	0.898	FALSE	FALSE	FALSE	FALSE	FALSE	0.149	-0.189	-0.0402	0.113	-0.0764	-0.0361
"PP_5235"	"PP_5235"	0.158914104010476	0.356875658555757	0.578508243714911	0.887	0.915	0.889	FALSE	FALSE	FALSE	FALSE	FALSE	0.238	-0.15	0.0887	0.129	-0.0204	-0.109
"PP_5238"	"PP_5238"	0.284981459868394	0.114109445848217	0.545019797607298	0.902	0.877	0.887	FALSE	FALSE	FALSE	FALSE	FALSE	0.482	-0.747	-0.265	0.41	-0.338	-0.0721
"PP_5252"	"PP_5252"	0.104729107469042	0.816024339404861	0.150192342182512	0.876	0.935	0.824	FALSE	FALSE	FALSE	FALSE	FALSE	0.203	-0.0265	0.176	0.0764	0.0498	-0.126
"PP_5258"	"PP_5258"	0.520296876623678	0.791821503784032	0.372509816274054	0.915	0.935	0.87	FALSE	FALSE	FALSE	FALSE	FALSE	0.0815	0.033	0.115	0.0161	0.0492	-0.0653
"PP_5260"	"PP_5260"	0.0394816281786509	0.0274083647586675	0.816934625810576	0.842	0.798	0.903	FALSE	FALSE	FALSE	FALSE	FALSE	-1.04	1.14	0.1	-0.724	0.412	0.312
"PP_5263"	"PP_5263"	0.170395064470449	0.00639770135722467	0.000911715020530949	0.889	0.648	0.139	FALSE	FALSE	FALSE	FALSE	FALSE	0.729	1.79	2.52	-0.353	1.44	-1.08
"PP_5267"	"PP_5267"	0.655256602910007	0.176766963488422	0.0882702155204935	0.92	0.893	0.789	FALSE	FALSE	FALSE	FALSE	FALSE	-0.0461	-0.148	-0.194	0.0338	-0.114	0.0799
"PP_5268"	"PP_5268"	0.442187482748632	0.551080819411875	0.856630726996858	0.912	0.926	0.904	FALSE	FALSE	FALSE	FALSE	FALSE	0.122	-0.0938	0.0281	0.0719	-0.0219	-0.05
"PP_5272"	"PP_5272"	0.128817424793152	0.125681149584376	0.987281611836474	0.882	0.881	0.91	TRUE	FALSE	FALSE	FALSE	FALSE	-1	1.01	0.00971	-0.672	0.341	0.331
